Company,Symbol,Date,Close_Last,Volume,Open,High,Low
Infosys,INFY,6/21/23,15.39,15032030,15.36,15.44,15.12
Infosys,INFY,6/20/23,15.64,7622139,15.81,15.84,15.57
Infosys,INFY,6/16/23,15.83,18245830,15.74,15.86,15.64
Infosys,INFY,6/15/23,15.62,9532790,15.47,15.66,15.41
Infosys,INFY,6/14/23,15.56,15595870,15.80,15.89,15.49
Infosys,INFY,6/13/23,15.85,5843500,15.93,15.94,15.70
Infosys,INFY,6/12/23,15.81,9468800,15.64,15.84,15.62
Infosys,INFY,6/9/23,15.45,8376113,15.32,15.52,15.30
Infosys,INFY,6/8/23,15.44,10272590,15.57,15.65,15.39
Infosys,INFY,6/7/23,15.64,7357278,15.64,15.70,15.53
Infosys,INFY,6/6/23,15.64,12481030,15.31,15.67,15.26
Infosys,INFY,6/5/23,15.40,14055610,15.67,15.71,15.34
Infosys,INFY,6/2/23,15.80,7581599,15.71,15.87,15.70
Infosys,INFY,6/1/23,15.83,7995858,15.79,15.90,15.67
Infosys,INFY,5/31/23,15.96,9040956,15.80,16.01,15.80
Infosys,INFY,5/30/23,15.90,6573497,15.89,15.95,15.83
Infosys,INFY,5/26/23,15.87,6331827,15.81,15.94,15.79
Infosys,INFY,5/25/23,15.66,9303449,15.74,15.76,15.52
Infosys,INFY,5/24/23,15.56,6913206,15.60,15.64,15.49
Infosys,INFY,5/23/23,15.53,7113952,15.56,15.64,15.51
Infosys,INFY,5/22/23,15.65,10336360,15.49,15.73,15.47
Infosys,INFY,5/19/23,15.25,7375212,15.29,15.40,15.24
Infosys,INFY,5/18/23,15.15,9384751,15.09,15.17,15.07
Infosys,INFY,5/17/23,15.19,7723932,15.00,15.22,15.00
Infosys,INFY,5/16/23,15.11,13214650,15.25,15.28,15.10
Infosys,INFY,5/15/23,15.34,8921192,15.13,15.38,15.08
Infosys,INFY,5/12/23,15.08,10854900,15.00,15.11,14.98
Infosys,INFY,5/11/23,15.03,15960120,15.20,15.20,15.01
Infosys,INFY,5/10/23,15.30,15541600,15.27,15.34,15.18
Infosys,INFY,5/9/23,15.27,12613770,15.25,15.29,15.21
Infosys,INFY,5/8/23,15.26,12112740,15.35,15.37,15.25
Infosys,INFY,5/5/23,15.25,11268820,15.24,15.28,15.17
Infosys,INFY,5/4/23,15.30,12316270,15.38,15.45,15.29
Infosys,INFY,5/3/23,15.38,9372263,15.52,15.58,15.35
Infosys,INFY,5/2/23,15.54,10433270,15.48,15.57,15.36
Infosys,INFY,5/1/23,15.49,7691587,15.50,15.53,15.43
Infosys,INFY,4/28/23,15.54,11666940,15.26,15.55,15.26
Infosys,INFY,4/27/23,15.31,11606400,15.08,15.34,15.08
Infosys,INFY,4/26/23,14.85,11181750,14.83,14.95,14.78
Infosys,INFY,4/25/23,14.79,14700260,14.88,14.88,14.78
